Day,Day,Coffee Type,Units Sold,price,revenue,price
Monday,Monday,Espresso,25.0,3.99,99.75,3.99
Monday,Monday,Latte,15.0,6.33,94.95,6.33
Tuesday,Tuesday,Espresso,30.0,3.99,119.7,3.99
Tuesday,Tuesday,Latte,20.0,6.33,126.6,6.33
Wednesday,Wednesday,Espresso,35.0,3.99,139.65,3.99
Wednesday,Wednesday,Latte,25.0,6.33,158.25,6.33
Thursday,Thursday,Espresso,40.0,3.99,159.60000000000002,3.99
Thursday,Thursday,Latte,30.0,6.33,189.9,6.33
Friday,Friday,Espresso,45.0,3.99,179.55,3.99
Friday,Friday,Latte,35.0,6.33,221.55,6.33
Saturday,Saturday,Espresso,45.0,3.99,179.55,3.99
Saturday,Saturday,Latte,35.0,6.33,221.55,6.33
Sunday,Sunday,Espresso,45.0,3.99,179.55,3.99
Sunday,Sunday,Latte,35.0,6.33,221.55,6.33
1,,,10.0,6.33,63.3,6.33
